propertyName,zoneGuid,zoneName,rateHourly,rateDaily,rateEvening,rateFull,commuter,eveningsWeekends
203 Thomas Berry St. ,5F9F63EF-236C-4DBD-AD6C-74E88C090064,203 Thomas Berry St. - Uncovered,3,12,7,150,100,50
1661 Portage Ave - Paid Daily + Monthly ,875EDD70-2816-4C04-9222-8F3C38E868E8,1661 Portage ave - Reserved B Paid,3,0,0,85,1,1
1661 Portage Ave - Paid Daily + Monthly ,CD4F730D-5DCF-443B-88F0-9F0CA9C2322B,1661 Portage Ave - Executive Paid,3,0,0,95,1,1
660 Dakota St.,27A61172-E643-41AE-9627-150147D7829E,660 Dakota Street - Guest Parking,1,0,0,0,0,0
56 Kate St.,78756047-5691-4A87-A674-9BD670C77E89,56 Kate Street - Uncovered,1,5,2,80,65,40
2295 Pembina Hwy.,8485AE13-FEB0-4D74-B4F6-60DCE8421D50,2295 Pembina Hwy - Uncovered,2,5,5,75,60,25
1919 Bishop Grandin,90518C97-9A3A-4E04-A10D-9829666539F3,1919 Bishop Grandin - Uncovered,1,5,2,25,20,15
172 Edmonton St. ,AC180CAB-686C-43D6-9C82-667219FCA34F,172 Edmonton St. - Uncovered Evenings/Weekends,3,14,12,230,200,170
532 Ellice Avenue,B5077CFF-9BAE-43FF-8004-6EC5263E6C85,532 Ellice Avenue - Uncovered,1.5,7.5,6,138,110,80
105 Galt Ave.,0B886FF8-CFC5-4EBB-9222-2B07D83F6A52, 105 Galt Ave. - Uncovered,1,1,2,0,0,0
430 Stradbrook Ave,9E690F19-6C5B-40D4-8689-77CB4D658A67,430 Stradbrook Avenue - Uncovered,1,5,2,0,0,0
859 Grosvenor Ave. ,CB55158D-5C0E-4721-B139-38765CBD3067,859 Grosvenor Avenue - Lot Management,3,0,0,0,0,0
275 Stradbrook Ave,40E08255-DF2E-4F74-A92D-B82857E644DD,275 Stradbrook Avenue | Uncovered - Guest Checkout,1,5,2,80,60,50
Development 123,356719A5-E30E-47D8-9706-3D40E94706ED,Development 123 - marketplace,0.5,2,0,0,0,0
1661 Portage Ave - Paid Daily + Monthly ,DF29297E-63B8-4793-82E3-17996E482788,1661 Portage Ave - Heartland Fertility Bulk pay,3,0,0,580,1,1
GrydPark Dev,835CDF68-763A-46DB-A61A-D37D02D2F98D,GrydPark Dev Zone,0,0,0,0,0,0
1681 Pembina Hwy,48F23AC6-001E-43E5-850A-EC1A549B1113,1681 Pembina Hwy - Uncovered,1,5,2,0,0,0
164 Dollard,304784C9-87DC-4FC1-9968-493526C07FF7,164 Dollard Blvd. - Uncovered,1,5,2,125,99,25
366 Young St. ,1BEC3C0A-B332-4A4C-AE8C-9265F62C516B,366 Young St. - Scramble Parking ,1.5,7.5,6,138,110,80
85 Hargrave,86268AFA-EEB0-4BBB-A20E-49F1DE4838B4,85 Hargrave - Uncovered,1,5,2,175,150,35
39 Westbrook St. ,26962619-9F04-4922-BB4F-0CB4C67C8A36,39 Westbrook St. - Uncovered,2,6,6,0,0,0
349 Edison Avenue,02AE7815-197B-4515-8A90-BE76C24A603F,349 Edison Avenue - Guest Parking,1,0,0,0,0,0
400 Tache Ave,16149241-9455-4A4C-A3F4-9033A1849C33,Blue Zone - PRE-BOOK,1,17.5,3,1,1,50
563 William Ave. ,71E9C362-13C1-468F-AC80-1338C46A2634,563 William Ave - Uncovered,2,5,3,70,65,50
516 Hargrave,B624B3F3-7989-42DD-87F0-756107B91E76,516 Hargrave - Uncovered,1,1,4,0,0,0
840 Waverley St. ,EFDADBD5-8856-4245-BB25-0112AC71708B,840 Waverley Street - Uncovered,1,5,2,25,20,15
246 Lilac St.,9D91FF50-0FC5-4385-BD48-678E29701E8E,246 Lilac Street - Uncovered,1,1,10,0,0,0
324 Logan Ave.,9075167F-5D90-489A-A619-059EA2F6C250,324 Logan Ave - Surface Parking ,1.5,6,3,0,0,0
230 Osborne St,3A8AE4A0-26A0-4F38-BAF0-54B4E1F0FC34,230 Osborne Street - Uncovered,1,5,2,99,75,25
1139 Grant Ave.,6FD2FD48-2A85-40D5-B1AB-1D43647CB259,1139 Grant Ave. - Uncovered,1,5,2,45,1,1
