address,postalCode,latitude,longitude,lowestMonthlyRate,coveredParking,busNearby,distanceFromCenter,usage,rangePointFive,rangeOnePointZero,rangeOnePointFive,rangeTwoPointZero,hourlyRate
520 Portage Avenue,R3C 0G2,49.8895442,-97.1537545,130,0,1,1.257093524,1,51.27837515,50.45863059,50.52624431,51.06636483,0.04
190 Donald Street,R3C 1N6,49.889976,-97.141599,190,0,0,0.610388716,0,51.15131579,50.46148223,50.5062697,51.06007067,4
180 Kennedy Street,R3C 1T1,49.8895459,-97.1471919,160,0,0,0.8776834,1,51.14982578,50.47842571,50.49695203,51.05379599,0.04
171 DONALD,R3C 1M4,49.8899227,-97.1412597,182.8192105,0,0,0.60742207,1,51.02833638,50.48094051,50.47781123,51.04778353,0.04
525 St Mary Avenue,R3C 3X3,49.8892433,-97.1523513,175,0,0,1.188400063,0,51.07783072,50.49023938,50.47927461,51.04469115,3
425 St Mary Avenue,R3C 0N2,49.8893997,-97.1480074,190,0,0,0.931214486,0,51.10013471,50.49781659,50.47064097,51.03879286,3
605 Portage Avenue,R3B 2G3,49.8890545,-97.1569484,182.8192105,0,1,1.484671666,1,51.09668756,50.53052705,50.50479396,51.03644266,3
400 St Mary Ave,R3C 4K5,49.88923315,-97.14648479,230,0,0,0.86801419,0,51.09586008,50.54586091,50.49293564,51.03357037,2.5
155 Garry Street,R3C1G7,49.8898359,-97.1384954,165,0,0,0.582792409,0,50.8852459,50.55597997,50.47169811,51.02541726,4
274 Osborne Street North,R3C 0N4,49.8886799,-97.1501619,115,0,1,1.099891114,1,50.96550228,50.55952882,50.46998833,51.01996762,2.5
310 York Avenue,R3C 0N7,49.88888511,-97.14122908,182.8192105,1,0,0.716690897,1,50.88732093,50.5700258,50.44962936,51.01212413,4
80 Carlton Street,R3C 1N4,49.8885899,-97.1436711,30,0,1,0.812499119,0,50.83386109,50.57613169,50.43582807,51.00444069,2.5
765 Portage Avenue,R3M 0N7,49.8878073,-97.1637994,182.8192105,0,1,1.987655503,1,50.84423808,50.58359362,50.4586056,51.03658217,4
115 Smith Street,R3C 1J5,49.8885243,-97.1392194,182.8192105,1,0,0.730703234,0,50.7721202,50.57751749,50.43890866,51.02115055,2.5
225 Broadway,R3C 0R9,49.8885944,-97.1366368,182.8192105,0,0,0.732454061,0,50.70422535,50.57202707,50.41962556,51.00349938,3
119 Donald Street,R3C 1M1,49.8879988,-97.1403984,225.5,0,0,0.799327591,1,50.65627564,50.57425427,50.40078996,50.99118381,4
116 Smith St.,R3C 1J6,49.887986,-97.1389611,205,0,0,0.789329509,0,50.60950833,50.57271506,50.38233772,50.9766315,4
